Station,Year,Avg Max temp,Avg Min temp,Avg Rainfall,Avg Humidity,Avg wind speed,Avg cloud coverage,Averge sunshine
Sylhet,2012,34.525,20.83333333,384.1666667,78.33333333,3.208333333,4.641666667,5.608333333
Tangail,2012,34.21666667,20.84166667,122.4166667,79,2.366666667,3.316666667,6.016666667
Teknaf,2012,32.8,22.20833333,405.75,79.5,2.291666667,3.283333333,6.933333333
Barisal,2011,33.975,21.35,159.0833333,82.58333333,2.05,3.541666667,6.133333333
Bhola,2011,33.4,21.45,167.9166667,83.58333333,1.425,3.208333333,5.741666667
Bogra,2011,34.325,20.95833333,143.4166667,77.91666667,2.6,3.325,5.858333333
Chandpur,2011,33.85833333,21.575,177.3333333,80.08333333,2.2,4.066666667,5.425
Chittagong (City-Ambagan),2011,34.20833333,21.78333333,260.6666667,79,3.366666667,3.558333333,6.411130628
Chittagong (IAP-Patenga),2011,32.8,21.65,258.4166667,78.25,5.766666667,3.55,6.742666667
Chuadanga,2011,34.825,20.28333333,135.1666667,80.58333333,1.791666667,2.958333333,6.083333333
Comilla,2011,33.39166667,21.05,157,80,1.941666667,3.416666667,6.483333333
Cox's Bazar,2011,33.45833333,21.975,370,78.83333333,3.241666667,3.408333333,6.516666667
Dhaka,2011,33.65833333,21.93333333,148,71.5,2.2,3.516666667,5.283333333
Dinajpur,2011,33.55,20.125,137,78.91666667,1.616666667,3.058333333,6.041666667
Faridpur,2011,34.18333333,21.20833333,125.75,78.33333333,2.275,2.941666667,6.3
Feni,2011,33.68333333,21.03333333,266.1666667,82.41666667,1.983333333,3.816666667,6
Hatiya,2011,33.23333333,21.55,320.1666667,82.91666667,2.075,3.758333333,6.208333333
Ishurdi,2011,34.375,20.25,144.6666667,79.08333333,2.225,3.266666667,6.191666667
Jessore,2011,34.99166667,20.48333333,113.4166667,78.66666667,5.916666667,3.008333333,5.15
Khepupara,2011,33.83333333,21.81666667,257.6666667,81.41666667,3.566666667,3.425,6.091666667
Khulna,2011,34.70833333,21.84166667,162.3333333,79.91666667,1.616666667,3.116666667,6.225
Kutubdia,2011,32.38333333,22.18333333,324.5,79.66666667,1.966666667,3.433333333,6.941666667
