st,yr,September,October,November,December,January,February,March,April,May,June,July,August,AVG,STDDEV
Naogaon,2017,0.68464,0.53759,0.42533,0.3798,0.42937,0.65534,0.63314,0.48872,0.41292,0.37949,0.51938,0.72114,0.5222383333333332,0.1183042497006013
Naogaon,2018,0.68587,0.52406,0.39997,0.37746,0.45545,0.68424,0.64121,0.4564,0.43379,0.32912,0.53012,0.73218,0.5208225,0.1294586434686769
Naogaon,2019,0.72945,0.55046,0.38679,0.41806,0.41214,0.70183,0.64288,0.4847,0.48449,0.37708,0.57605,0.6822,0.5371775,0.12300813849260814
Sylhet,2011,0.64414,0.54499,0.43117,0.40389,0.46538,0.52178,0.55638,0.50526,0.29906,0.40796,0.48039,0.6214,0.49015000000000003,0.09330099713650795
Sylhet,2012,0.60034,0.48826,0.43755,0.3829,0.40218,0.45845,0.52255,0.48418,0.29498,0.3623,0.48865,0.59117,0.4594591666666667,0.08640257388704085
Sylhet,2013,0.68849,0.57175,0.42908,0.4187,0.45363,0.49576,0.54784,0.42043,0.34817,0.44882,0.55448,0.64631,0.5019549999999998,0.09708443382781129
Sylhet,2014,0.61093,0.53357,0.43831,0.42652,0.46547,0.49645,0.53663,0.48491,0.37556,0.45322,0.31968,0.53962,0.4734058333333333,0.07565464134895418
Sylhet,2015,0.57707,0.52125,0.46664,0.40253,0.4435,0.48334,0.5296,0.4636,0.35683,0.34531,0.33394,0.56371,0.4572766666666667,0.08001754894327175
Sylhet,2016,0.64246,0.50885,0.46859,0.45921,0.48855,0.56844,0.46246,0.43177,0.36618,0.3429,0.52926,0.65611,0.4937316666666667,0.09185427088903136
Sylhet,2017,0.64537,0.58406,0.50574,0.4664,0.49019,0.58379,0.46834,0.50739,0.28048,0.33513,0.29672,0.57786,0.47845583333333336,0.11354905984186847
Sylhet,2018,0.64847,0.5904,0.50288,0.45974,0.51708,0.58522,0.57006,0.48191,0.29877,0.49424,0.52424,0.6245,0.5247925000000001,0.08844630707619548
Sylhet,2019,0.68342,0.60915,0.49341,0.45344,0.50219,0.57655,0.59696,0.51557,0.42051,0.3669,0.53342,0.68422,0.5363116666666667,0.09422578157749019
Sunamganj,2011,0.41492,0.35268,0.30132,0.35559,0.49647,0.62404,0.56495,0.38432,0.15254,0.15775,0.22706,0.36783,0.3666225,0.14101492333112595
Sunamganj,2012,0.36376,0.31665,0.27175,0.26401,0.48868,0.58552,0.51342,0.303,0.10359,0.14963,0.21387,0.26996,0.32032,0.13954353759072233
Sunamganj,2013,0.46738,0.34371,0.27433,0.34309,0.50415,0.60535,0.5442,0.23125,0.17159,0.25,0.27463,0.40877,0.36820416666666667,0.13145352495960524
Sunamganj,2014,0.39758,0.3257,0.30708,0.38807,0.52732,0.62549,0.54605,0.38045,0.14921,0.19923,0.10536,0.26682,0.35153000000000006,0.15346918621230343
Sunamganj,2015,0.37256,0.32613,0.31543,0.30798,0.52391,0.61636,0.54176,0.28213,0.14001,0.20126,0.16664,0.32496,0.34326083333333335,0.14333304762326177
Sunamganj,2016,0.40228,0.34163,0.31661,0.36063,0.53021,0.57496,0.41418,0.23345,0.18773,0.14912,0.25307,0.39114,0.34625083333333334,0.12329515457215755
Sunamganj,2017,0.44143,0.3549,0.31657,0.31098,0.56346,0.58628,0.28921,0.27896,0.09691,0.15113,0.10484,0.30829,0.3169133333333333,0.15096062965407755
Sunamganj,2018,0.43185,0.38708,0.37287,0.40716,0.53063,0.64996,0.55728,0.31924,0.16906,0.23595,0.30675,0.38915,0.396415,0.12963949060760768
Sunamganj,2019,0.46694,0.39798,0.32277,0.34766,0.57668,0.65805,0.58569,0.35499,0.20519,0.17918,0.26767,0.40903,0.39765249999999996,0.14483908968950107
Habiganj,2011,0.61344,0.49049,0.38748,0.37317,0.50257,0.60963,0.56957,0.4237,0.32751,0.41657,0.47966,0.57436,0.4806791666666667,0.09245253047360152
Habiganj,2012,0.58316,0.47604,0.38299,0.33662,0.46782,0.54821,0.53133,0.40115,0.38468,0.44352,0.45071,0.56801,0.46452000000000004,0.07660737116405096
Habiganj,2013,0.65089,0.49812,0.38569,0.40984,0.50263,0.59927,0.56729,0.33668,0.35803,0.41428,0.46576,0.60116,0.48246999999999995,0.10010463534056085
Habiganj,2014,0.63981,0.52504,0.41048,0.42086,0.53141,0.59234,0.53508,0.44369,0.44176,0.49466,0.33326,0.6298,0.49984916666666673,0.08964555282317256
Habiganj,2015,0.6134,0.51671,0.42235,0.36571,0.50915,0.60488,0.56634,0.46277,0.41729,0.43428,0.44215,0.64437,0.49995000000000006,0.08632403489179591
Habiganj,2016,0.61217,0.47757,0.43585,0.43699,0.53421,0.63506,0.52241,0.42079,0.39658,0.38973,0.51597,0.59408,0.49761750000000005,0.08126694552778925
Habiganj,2017,0.66447,0.53356,0.45007,0.39608,0.5604,0.64502,0.53209,0.49303,0.3257,0.4185,0.35807,0.61535,0.4993616666666667,0.10711906652827446
Habiganj,2018,0.63241,0.55866,0.45799,0.45505,0.56062,0.67141,0.59069,0.39702,0.37082,0.47426,0.53563,0.63461,0.5282641666666668,0.09300425030236821
Habiganj,2019,0.67229,0.56048,0.43474,0.41532,0.5581,0.67533,0.6084,0.47156,0.45495,0.39985,0.51096,0.65445,0.5347025,0.09705245318254455
Satkhira,2011,0.45824,0.45866,0.39873,0.38527,0.38148,0.43416,0.41492,0.31766,0.26768,0.28315,0.31787,0.39342,0.37593666666666664,0.062293971796813716
Satkhira,2012,0.52233,0.47218,0.41916,0.3754,0.39683,0.41263,0.39246,0.32237,0.2871,0.26613,0.31213,0.47801,0.38806083333333335,0.0764653738039135
Satkhira,2013,0.53387,0.45811,0.40671,0.38613,0.38447,0.44965,0.42213,0.28815,0.363,0.3161,0.35926,0.52221,0.40748249999999997,0.07163169737448638
Satkhira,2014,0.52228,0.4564,0.39051,0.39072,0.41445,0.47755,0.41763,0.3301,0.27688,0.27583,0.36451,0.52635,0.40360083333333335,0.08029848623088869
Satkhira,2015,0.51442,0.48079,0.40336,0.38035,0.42844,0.46594,0.415,0.36863,0.31516,0.27526,0.36483,0.52393,0.4113425000000001,0.07313914024253133
Satkhira,2016,0.51134,0.45268,0.42306,0.42151,0.44985,0.4909,0.36321,0.36803,0.38878,0.29076,0.40065,0.44967,0.41753666666666667,0.05782590283678145
Satkhira,2017,0.52558,0.50067,0.45887,0.43668,0.44006,0.49417,0.38248,0.40119,0.29871,0.26414,0.39559,0.50919,0.42561083333333344,0.07867950500377395
Satkhira,2018,0.54651,0.49444,0.44442,0.42643,0.42462,0.49921,0.42455,0.37292,0.35794,0.38445,0.4195,0.5344,0.4441158333333333,0.059118910885651105
Satkhira,2019,0.56541,0.49152,0.4229,0.45022,0.39655,0.48701,0.46591,0.36037,0.37201,0.39812,0.36529,0.53011,0.44211833333333334,0.06449358312180281
Narail,2011,0.60483,0.52359,0.45982,0.47497,0.48833,0.51692,0.50729,0.48603,0.38403,0.45262,0.44108,0.5841,0.4936341666666668,0.05788604199320323
Narail,2012,0.64547,0.55075,0.45543,0.43065,0.50001,0.49765,0.50082,0.45258,0.47595,0.46185,0.53194,0.64983,0.5127441666666667,0.06852122195085905
Narail,2013,0.68745,0.53093,0.48428,0.51496,0.49008,0.52142,0.5578,0.48205,0.55204,0.52266,0.48367,0.66731,0.5412208333333333,0.06574978434164042
Narail,2014,0.68967,0.529,0.42821,0.50472,0.56913,0.55185,0.485,0.43805,0.42934,0.49517,0.49741,0.70245,0.5266666666666666,0.0870811475323767
Narail,2015,0.64194,0.53671,0.45625,0.48888,0.56889,0.5637,0.52095,0.54811,0.4856,0.44147,0.51123,0.70519,0.5390766666666666,0.07224243943524854
Narail,2016,0.62621,0.52314,0.4889,0.52061,0.5938,0.55606,0.41691,0.56076,0.62494,0.44657,0.51445,0.67377,0.54551,0.0727810402279788
Narail,2017,0.678,0.56549,0.51851,0.50796,0.57987,0.57342,0.52824,0.60402,0.4991,0.44036,0.50525,0.70448,0.5587250000000001,0.07290413688536476
Narail,2018,0.67018,0.55577,0.49013,0.50959,0.59034,0.60792,0.5355,0.54891,0.50487,0.52459,0.54969,0.70455,0.5660033333333333,0.06349691191091282
Narail,2019,0.70591,0.57225,0.52233,0.53165,0.5283,0.62022,0.58455,0.57438,0.52158,0.5638,0.4739,0.68627,0.5737616666666666,0.06562432537219379
Meherpur,2011,0.55984,0.51779,0.47854,0.57094,0.54263,0.52672,0.51732,0.49994,0.48629,0.45079,0.58972,0.56542,0.5254949999999999,0.04016703551006306
Meherpur,2012,0.63037,0.54187,0.53373,0.54503,0.52967,0.47569,0.48173,0.41544,0.47356,0.5239,0.58911,0.63543,0.5312941666666667,0.06236357196023084
Meherpur,2013,0.65915,0.51675,0.52939,0.61115,0.58614,0.46927,0.46756,0.54584,0.58537,0.51144,0.57836,0.61785,0.5565225,0.057340923304535885
Meherpur,2014,0.61921,0.50032,0.52888,0.63111,0.6101,0.49448,0.43088,0.49054,0.54966,0.58433,0.51496,0.64289,0.54978,0.06437973076468503
Meherpur,2015,0.62397,0.51741,0.49852,0.61638,0.59361,0.50927,0.49166,0.54671,0.52294,0.53995,0.51073,0.6589,0.5525041666666667,0.05379331378190871
Meherpur,2016,0.62834,0.49748,0.5076,0.58991,0.59355,0.48038,0.42557,0.54757,0.58419,0.53194,0.59747,0.61664,0.5500533333333334,0.059657164187454384
Meherpur,2017,0.7169,0.55562,0.53492,0.55296,0.58171,0.51057,0.47432,0.59544,0.55605,0.47935,0.56303,0.67064,0.5659591666666667,0.06780569229525563
Meherpur,2018,0.68821,0.55688,0.55414,0.60708,0.57886,0.59194,0.52804,0.53037,0.54461,0.45416,0.53504,0.68789,0.571435,0.06378502103419999
Meherpur,2019,0.71054,0.59057,0.57793,0.6612,0.59862,0.56325,0.54206,0.58308,0.58553,0.57462,0.53654,0.71162,0.6029633333333333,0.056840920901133254
Magura,2011,0.57729,0.50503,0.44059,0.48775,0.49184,0.50973,0.50775,0.5646,0.45523,0.43304,0.48555,0.61264,0.50592,0.052469948859640916
Magura,2012,0.64608,0.52662,0.45295,0.45796,0.48573,0.47585,0.49108,0.51812,0.48441,0.51594,0.47068,0.6468,0.5143516666666667,0.063020632313729
Magura,2013,0.69476,0.49058,0.46091,0.52882,0.5167,0.48216,0.5399,0.53285,0.57355,0.48777,0.50652,0.71309,0.5439675,0.07716780623258641
Magura,2014,0.69716,0.50014,0.42503,0.51583,0.55821,0.50595,0.49718,0.57183,0.54037,0.45216,0.49014,0.73822,0.5410183333333334,0.0884631888446011
Magura,2015,0.64571,0.49777,0.4415,0.49657,0.55449,0.50388,0.53936,0.62538,0.56183,0.43249,0.49507,0.73417,0.5440183333333334,0.08411947810835622
Magura,2016,0.62345,0.48798,0.47073,0.53145,0.5498,0.49812,0.46167,0.6303,0.62933,0.46702,0.49417,0.65981,0.5419858333333334,0.07094276066641486
Magura,2017,0.64435,0.54532,0.49735,0.49646,0.5422,0.53002,0.54192,0.68057,0.57795,0.4017,0.53609,0.73029,0.5603516666666666,0.0848147055678174
Magura,2018,0.68571,0.55032,0.48194,0.51797,0.56805,0.6025,0.54757,0.50947,0.55368,0.38602,0.48363,0.77889,0.5554791666666666,0.09667142196277842
Magura,2019,0.76836,0.56657,0.50487,0.54977,0.51157,0.59149,0.59191,0.62704,0.52149,0.52971,0.49797,0.77073,0.5859566666666667,0.0903793369022416
Khulna,2011,0.54532,0.54442,0.46255,0.42903,0.41426,0.44854,0.43893,0.3311,0.26697,0.24085,0.35328,0.43996,0.40960083333333336,0.09185662183155636
Khulna,2012,0.57937,0.55138,0.4778,0.39954,0.43039,0.41346,0.43001,0.3681,0.28317,0.25997,0.31501,0.4742,0.4152,0.09459545293864113
Khulna,2013,0.60272,0.55816,0.45918,0.43192,0.43148,0.46254,0.43975,0.3509,0.37192,0.32522,0.34218,0.54771,0.44364000000000003,0.08573835849062349
Khulna,2014,0.59443,0.55073,0.45539,0.43261,0.45282,0.47305,0.43558,0.38397,0.28961,0.29161,0.35004,0.55638,0.4388516666666667,0.09446110326772367
Khulna,2015,0.59067,0.58331,0.46189,0.41761,0.45237,0.48105,0.42988,0.39208,0.31684,0.27974,0.34475,0.56082,0.4425841666666667,0.09699574839980818
Khulna,2016,0.58976,0.54817,0.47689,0.45188,0.48797,0.5007,0.41747,0.40616,0.38541,0.26605,0.37812,0.48618,0.4495633333333333,0.08234686781468308
Khulna,2017,0.613,0.59796,0.52272,0.46296,0.47308,0.50645,0.43351,0.44377,0.29871,0.2381,0.37996,0.54505,0.45960583333333327,0.10745947193076508
Khulna,2018,0.60013,0.58256,0.49552,0.46014,0.46345,0.51564,0.44477,0.4117,0.36743,0.3843,0.40407,0.54586,0.47296416666666663,0.07324307674430548
Khulna,2019,0.59699,0.57099,0.50133,0.47471,0.44092,0.49527,0.49404,0.43049,0.37569,0.40708,0.34487,0.53491,0.4722741666666667,0.07280936277456965
Jhenaidah,2011,0.61646,0.53333,0.4534,0.4678,0.48938,0.57194,0.54457,0.50502,0.45779,0.42326,0.56614,0.62253,0.5209683333333334,0.0625598473241601
Jhenaidah,2012,0.67066,0.53682,0.48151,0.46551,0.46403,0.5133,0.53747,0.47542,0.45142,0.48574,0.52735,0.69694,0.5255141666666666,0.07625394748889325
Jhenaidah,2013,0.72648,0.51355,0.4831,0.51346,0.49386,0.52318,0.59428,0.57837,0.52305,0.48976,0.54535,0.72838,0.5594016666666667,0.08167857367279514
Jhenaidah,2014,0.70629,0.51508,0.45489,0.5044,0.5481,0.56378,0.51593,0.49222,0.50967,0.51376,0.57845,0.751,0.5544641666666666,0.0843480576202295
Jhenaidah,2015,0.69438,0.5343,0.44023,0.47399,0.54066,0.55654,0.55686,0.57641,0.48023,0.3969,0.5678,0.75746,0.5479799999999999,0.09635377176495653
Jhenaidah,2016,0.67131,0.51295,0.47068,0.48542,0.54309,0.55534,0.48606,0.56855,0.58127,0.50374,0.53185,0.66622,0.54804,0.06322444108096172
Jhenaidah,2017,0.77219,0.57693,0.50826,0.48107,0.54175,0.57902,0.55615,0.61119,0.52619,0.44617,0.59698,0.74217,0.5781725,0.09230348143714118
Jhenaidah,2018,0.72051,0.5654,0.48241,0.48706,0.55252,0.64457,0.57485,0.49823,0.56859,0.43941,0.50839,0.79613,0.5698391666666667,0.1001050104022715
Jhenaidah,2019,0.7941,0.59581,0.51241,0.53587,0.51276,0.66632,0.60717,0.55682,0.50433,0.52657,0.55795,0.78643,0.5963783333333333,0.09760198767044768
Chuadanga,2011,0.54625,0.52949,0.50188,0.52074,0.50487,0.54854,0.53558,0.4809,0.49579,0.49126,0.58812,0.5572,0.5250516666666666,0.030349428284931864
Chuadanga,2012,0.59738,0.5452,0.5448,0.52936,0.51138,0.51389,0.49974,0.4257,0.46233,0.55065,0.59686,0.64253,0.534985,0.05717783464770243
Chuadanga,2013,0.64407,0.51059,0.5512,0.56645,0.53481,0.52424,0.52997,0.56691,0.53796,0.52445,0.60353,0.64733,0.5617925,0.04446292034287297
Chuadanga,2014,0.61944,0.51149,0.55685,0.5756,0.58511,0.57556,0.45817,0.46688,0.52128,0.56469,0.63433,0.64013,0.5591275,0.05738088417539415
Chuadanga,2015,0.59495,0.5363,0.54089,0.53277,0.58037,0.58276,0.51585,0.51287,0.46838,0.55294,0.5926,0.64573,0.5547008333333333,0.045196569091457466
Chuadanga,2016,0.58903,0.53959,0.55129,0.55794,0.59549,0.5584,0.46714,0.51455,0.55565,0.55702,0.58431,0.58777,0.5548483333333333,0.03459488734705688
Chuadanga,2017,0.68947,0.56186,0.58021,0.56499,0.57551,0.57305,0.51247,0.58069,0.51292,0.46583,0.61118,0.66314,0.5742766666666667,0.05929672072626687
Chuadanga,2018,0.6258,0.58233,0.58156,0.57593,0.57072,0.64575,0.56033,0.50109,0.54166,0.49699,0.57368,0.66838,0.5770183333333334,0.04937091229211341
Chuadanga,2019,0.67491,0.60038,0.5906,0.61957,0.56194,0.64484,0.58275,0.55747,0.52586,0.56514,0.55741,0.68745,0.59736,0.048078308171842596
Tangail,2011,0.62776,0.55523,0.4774,0.41633,0.4371,0.58113,0.60151,0.50703,0.44917,0.34886,0.48088,0.61631,0.5082258333333334,0.08479642007560749
Tangail,2012,0.63704,0.56386,0.4712,0.4229,0.37528,0.55937,0.61573,0.46067,0.48367,0.51565,0.53376,0.55762,0.5163958333333334,0.07382275027143659
Tangail,2013,0.7047,0.54808,0.49316,0.46717,0.42343,0.57764,0.59728,0.43955,0.46802,0.4114,0.4867,0.6692,0.5238608333333333,0.09183002608609138
Tangail,2014,0.6644,0.54479,0.49922,0.45222,0.44437,0.60845,0.58487,0.48018,0.4373,0.46014,0.44246,0.66811,0.5238758333333333,0.08367604092155385
Tangail,2015,0.66225,0.55557,0.48285,0.44213,0.42275,0.61629,0.60576,0.52431,0.45946,0.44398,0.38961,0.68868,0.52447,0.09561453986362813
Tangail,2016,0.65473,0.54581,0.50844,0.48276,0.46937,0.60188,0.57026,0.51883,0.51119,0.4089,0.53586,0.61439,0.5352016666666667,0.06515538975318073
Tangail,2017,0.65965,0.60686,0.57969,0.51851,0.46879,0.60304,0.62527,0.5826,0.34763,0.40212,0.4545,0.62366,0.53936,0.09542692605688746
Tangail,2018,0.66875,0.59621,0.53558,0.48333,0.49517,0.65381,0.64162,0.53278,0.46426,0.43942,0.59268,0.68197,0.565465,0.08129693634038943
Tangail,2019,0.71431,0.61196,0.50406,0.52398,0.46912,0.66106,0.66602,0.52897,0.48079,0.43658,0.55609,0.65724,0.567515,0.08751831451187803
Sherpur,2011,0.7263,0.57819,0.44628,0.36527,0.47096,0.65866,0.62697,0.44909,0.44906,0.31595,0.48871,0.62981,0.5171041666666667,0.1200797164705134
Sherpur,2012,0.67593,0.56871,0.39548,0.35144,0.34395,0.615,0.62254,0.43717,0.51111,0.39551,0.50424,0.69793,0.5099175000000001,0.12050683556856849
Sherpur,2013,0.77376,0.58122,0.4434,0.39959,0.40381,0.66001,0.65221,0.47951,0.46395,0.39522,0.48969,0.71904,0.5384508333333333,0.1277667353981683
Sherpur,2014,0.65823,0.55006,0.45862,0.39433,0.44376,0.67679,0.62261,0.45627,0.39282,0.39658,0.35352,0.64452,0.5040091666666667,0.11406034407703765
Sherpur,2015,0.66678,0.55605,0.43762,0.35735,0.46536,0.69207,0.63944,0.46096,0.37767,0.49578,0.48129,0.69933,0.5274749999999999,0.11556468257358446
Sherpur,2016,0.70464,0.53865,0.46084,0.40399,0.46959,0.67859,0.61802,0.4928,0.3897,0.36826,0.53262,0.70159,0.5299408333333334,0.11597024133072052
Sherpur,2017,0.69274,0.58909,0.50587,0.42798,0.48897,0.68687,0.64296,0.5394,0.37274,0.39548,0.44206,0.72551,0.5424725,0.11797719943029952
Sherpur,2018,0.74685,0.62697,0.46567,0.40247,0.51209,0.73498,0.65434,0.50838,0.36617,0.46058,0.60528,0.76888,0.5710550000000001,0.13205389161878822
Sherpur,2019,0.75202,0.59514,0.46097,0.42051,0.47489,0.74669,0.72862,0.5302,0.4875,0.39305,0.51037,0.7327,0.5693883333333333,0.13011142768369305
Shariatpur,2011,0.50634,0.45877,0.44135,0.47084,0.46077,0.45309,0.47461,0.50046,0.40196,0.36957,0.403,0.41074,0.4459583333333334,0.04017544292088002
Shariatpur,2012,0.51806,0.47279,0.42786,0.43697,0.43684,0.40791,0.48809,0.44127,0.48824,0.38971,0.35182,0.44954,0.442425,0.044094086054708055
Shariatpur,2013,0.58641,0.47506,0.50039,0.513,0.48006,0.46219,0.4852,0.4433,0.47561,0.40228,0.4008,0.54029,0.48038249999999993,0.050422227592765746
Shariatpur,2014,0.54238,0.46812,0.45142,0.53331,0.50901,0.43175,0.43447,0.44998,0.50096,0.47063,0.43005,0.5582,0.48168999999999995,0.04372078357791253
Shariatpur,2015,0.54599,0.47864,0.47707,0.5344,0.50231,0.46099,0.48034,0.5118,0.46643,0.35302,0.37601,0.55269,0.47830750000000005,0.0588546183581487
Shariatpur,2016,0.53737,0.49228,0.45797,0.51941,0.501,0.47136,0.43872,0.55381,0.52417,0.37599,0.46056,0.50183,0.4862058333333333,0.046823757762189736
Shariatpur,2017,0.56268,0.52042,0.5011,0.52236,0.50995,0.49898,0.48491,0.5672,0.47293,0.377,0.4135,0.53513,0.49717999999999996,0.053364510991232114
Shariatpur,2018,0.59112,0.5268,0.51217,0.5177,0.51001,0.4935,0.48832,0.49965,0.39546,0.48853,0.44372,0.56146,0.50237,0.04804427471960976
Shariatpur,2019,0.58929,0.52762,0.46619,0.54986,0.52308,0.52168,0.55407,0.53589,0.47996,0.45971,0.43298,0.54052,0.5150708333333333,0.043791120001345274
Rajbari,2011,0.50918,0.43646,0.40418,0.45414,0.44368,0.41777,0.45702,0.5941,0.43854,0.39345,0.36687,0.50351,0.451575,0.0582869377162099
Rajbari,2012,0.57426,0.47892,0.41013,0.43052,0.4382,0.37043,0.39463,0.5489,0.512,0.48468,0.40734,0.51853,0.464045,0.06242293094955839
Rajbari,2013,0.59352,0.44404,0.4094,0.47342,0.48547,0.39987,0.42268,0.54675,0.49857,0.42546,0.38192,0.59951,0.47338416666666666,0.07076722587214287
Rajbari,2014,0.60824,0.44691,0.40042,0.48991,0.49803,0.43224,0.43436,0.57111,0.52578,0.4294,0.43851,0.62467,0.4916316666666667,0.0722525776741256
Rajbari,2015,0.57946,0.45587,0.39184,0.46249,0.48892,0.42857,0.49366,0.6132,0.50744,0.288,0.39503,0.62777,0.47768750000000004,0.09390395653050691
Rajbari,2016,0.5625,0.4463,0.42431,0.48006,0.4786,0.42488,0.42047,0.60208,0.5114,0.37055,0.42633,0.56617,0.4761374999999999,0.06808255700801782
Rajbari,2017,0.59658,0.49325,0.46445,0.46502,0.47108,0.44075,0.4831,0.65152,0.44772,0.39245,0.40459,0.59231,0.49190166666666674,0.07669687095239863
Rajbari,2018,0.61186,0.51207,0.45365,0.48273,0.48513,0.48585,0.51078,0.55321,0.52181,0.35343,0.40185,0.62965,0.5001683333333334,0.07465164530820619
Rajbari,2019,0.65688,0.5223,0.45118,0.49097,0.49631,0.50084,0.54752,0.65096,0.53008,0.4684,0.45517,0.63889,0.534125,0.07180081899486476
Netrakona,2011,0.62545,0.46609,0.33542,0.32043,0.49721,0.68607,0.63797,0.44203,0.30398,0.22885,0.31027,0.52462,0.44819916666666665,0.14422074714699995
Netrakona,2012,0.57587,0.45464,0.30912,0.27406,0.43571,0.66213,0.60827,0.37863,0.24804,0.2946,0.30775,0.46266,0.4176233333333334,0.13378048327598294
Netrakona,2013,0.68388,0.46933,0.33142,0.34156,0.46385,0.6917,0.60223,0.35161,0.32483,0.31145,0.35123,0.63991,0.4635833333333334,0.1445769979015411
Netrakona,2014,0.53328,0.41848,0.33996,0.35524,0.45761,0.67896,0.60711,0.40168,0.2678,0.28847,0.21641,0.46552,0.4192099999999999,0.13267565287823788
Netrakona,2015,0.56351,0.45962,0.36848,0.29774,0.48236,0.70212,0.63251,0.32503,0.22632,0.35522,0.27959,0.55009,0.4368824999999999,0.1450153695374505
Netrakona,2016,0.5994,0.44349,0.36007,0.35581,0.50023,0.61754,0.54817,0.40909,0.28437,0.24865,0.36442,0.57453,0.44214749999999997,0.11947538736248846
Netrakona,2017,0.60615,0.50936,0.41714,0.34585,0.53975,0.61979,0.52672,0.4213,0.17611,0.26616,0.23853,0.55122,0.43483999999999995,0.14272549672944446
Netrakona,2018,0.62254,0.51431,0.39364,0.37315,0.53039,0.72868,0.61633,0.39778,0.26269,0.30263,0.49221,0.58415,0.48487499999999994,0.1352440891191429
Netrakona,2019,0.6655,0.50519,0.3591,0.34799,0.52907,0.73751,0.65755,0.43683,0.29961,0.28588,0.36305,0.58299,0.4808558333333333,0.14823790908864107
Narsingdi,2011,0.64923,0.5737,0.45637,0.41606,0.4702,0.61012,0.61783,0.51505,0.34627,0.33673,0.52337,0.56044,0.5062808333333333,0.09907548430854235
Narsingdi,2012,0.61443,0.57711,0.44326,0.39314,0.43889,0.56448,0.59311,0.45875,0.4723,0.4957,0.4595,0.51351,0.502015,0.06739289570619938
Narsingdi,2013,0.65567,0.56652,0.49373,0.46744,0.45991,0.61578,0.61164,0.46753,0.41576,0.39908,0.42844,0.55128,0.511065,0.08258834567701828
Narsingdi,2014,0.65625,0.58924,0.50681,0.47967,0.49465,0.61304,0.56545,0.50614,0.45318,0.50242,0.35402,0.61355,0.5278683333333334,0.08012885194415861
Narsingdi,2015,0.63969,0.57814,0.50864,0.43689,0.48117,0.62171,0.59922,0.48161,0.43579,0.37298,0.43397,0.64094,0.5192291666666666,0.08900903029640056
Narsingdi,2016,0.6547,0.57489,0.53296,0.49858,0.50862,0.64175,0.53632,0.54581,0.44183,0.45341,0.54935,0.57671,0.5429108333333335,0.061908665044877915
Narsingdi,2017,0.65437,0.58576,0.54922,0.49036,0.52744,0.64692,0.6133,0.64061,0.43623,0.52418,0.41634,0.60566,0.5575325000000001,0.0773204201278679
Narsingdi,2018,0.661,0.60926,0.54461,0.48862,0.53818,0.65706,0.62594,0.47815,0.46457,0.42154,0.60286,0.64239,0.5611816666666667,0.07947230039803525
Narsingdi,2019,0.69796,0.60689,0.5,0.52449,0.55153,0.66611,0.65681,0.52484,0.49967,0.49583,0.52637,0.63072,0.573435,0.0705666770390482
Narayanganj,2011,0.55727,0.48016,0.38615,0.37326,0.40859,0.51476,0.55003,0.49246,0.36539,0.39328,0.52809,0.50976,0.46326666666666655,0.0695420074886795
Narayanganj,2012,0.54511,0.5141,0.38866,0.34998,0.38183,0.48163,0.53558,0.41635,0.40379,0.44982,0.40055,0.48043,0.4456525,0.06211887637492595
Narayanganj,2013,0.5908,0.4869,0.42706,0.39856,0.40597,0.53077,0.52585,0.41897,0.4503,0.40866,0.47515,0.53108,0.47083916666666675,0.060028749009444535
Narayanganj,2014,0.58162,0.49656,0.42531,0.41687,0.4269,0.51647,0.48591,0.4596,0.3833,0.49958,0.4153,0.57854,0.47383000000000003,0.06147605983904088
Narayanganj,2015,0.57497,0.50476,0.44496,0.40997,0.40801,0.50615,0.52551,0.43208,0.3703,0.29541,0.45212,0.57516,0.4582833333333334,0.07972825976751002
Narayanganj,2016,0.57608,0.51039,0.44759,0.42991,0.43111,0.52322,0.48454,0.49891,0.44416,0.41994,0.48973,0.54411,0.4833075,0.0477108778870186
Narayanganj,2017,0.57319,0.528,0.48189,0.4294,0.43231,0.53356,0.53184,0.51258,0.38258,0.50675,0.42114,0.5689,0.4918450000000001,0.05939587534781631
Narayanganj,2018,0.58008,0.52396,0.45927,0.4253,0.4391,0.52024,0.54955,0.44924,0.43254,0.43461,0.5528,0.57257,0.4949383333333333,0.05769868684717954
Narayanganj,2019,0.6234,0.53672,0.45147,0.45856,0.44432,0.57327,0.57256,0.47785,0.42235,0.5332,0.46464,0.56329,0.5101358333333333,0.06193247606040162
Mymensingh,2011,0.74201,0.6103,0.43158,0.36882,0.45243,0.63759,0.64722,0.49391,0.40912,0.37417,0.49052,0.61586,0.5227941666666666,0.11793360889771368
Mymensingh,2012,0.70429,0.61976,0.43051,0.34354,0.37027,0.5967,0.62312,0.4687,0.44428,0.46956,0.50937,0.64561,0.5188091666666668,0.11134795488754559
Mymensingh,2013,0.75547,0.60928,0.443,0.39904,0.4141,0.6398,0.65324,0.40637,0.46404,0.42568,0.46868,0.72192,0.5333849999999999,0.12698169142964405
Mymensingh,2014,0.70411,0.58971,0.43905,0.40205,0.43375,0.62999,0.61263,0.45165,0.40586,0.43313,0.41334,0.66866,0.5153275,0.11022646529796433
Mymensingh,2015,0.71241,0.59576,0.43948,0.3484,0.44849,0.6564,0.61041,0.47045,0.39747,0.47203,0.46301,0.7302,0.5287091666666667,0.12140684140925592
Mymensingh,2016,0.71484,0.55934,0.45683,0.4201,0.45313,0.652,0.5883,0.52405,0.43166,0.3967,0.54285,0.6937,0.5361250000000001,0.1043384237709196
