st,yr,lat,long,rain,rel_hum,cloud,avg_sun,temp
Feni,2010,23.01,91.37,225.75,79.41666666666667,4.183333333333333,6.041666666666667,27.737499999999997
Feni,2011,23.01,91.37,266.1666666666667,82.41666666666667,3.8166666666666664,6.0,27.358333333333334
Feni,2012,23.01,91.37,240.41666666666666,82.16666666666667,3.8249999999999997,6.0249999999999995,27.325000000000003
Hatiya,2010,22.29,91.13,280.6666666666667,81.75,4.5249999999999995,6.3999999999999995,28.09583333333333
Hatiya,2011,22.29,91.13,320.1666666666667,82.91666666666667,3.7583333333333333,6.208333333333333,27.391666666666666
Hatiya,2012,22.29,91.13,250.41666666666666,83.75,3.7249999999999996,5.791666666666668,27.420833333333334
Ishurdi,2010,24.12,89.04,74.41666666666667,77.83333333333333,3.3166666666666664,6.449999999999999,28.366666666666667
Ishurdi,2011,24.12,89.04,144.66666666666666,79.08333333333333,3.266666666666666,6.191666666666666,27.3125
Ishurdi,2012,24.12,89.04,88.5,78.33333333333333,3.3083333333333336,6.2749999999999995,27.87916666666667
Jessore,2010,23.17,89.22,117.41666666666667,77.83333333333333,2.9749999999999996,5.0,28.53333333333333
Jessore,2011,23.17,89.22,113.41666666666667,78.66666666666667,3.008333333333333,5.149999999999999,27.737499999999997
Jessore,2012,23.17,89.22,108.75,77.91666666666667,2.8000000000000003,5.183333333333334,28.304166666666667
Khepupara,2010,21.98,90.22,214.0,81.41666666666667,3.5916666666666663,6.458333333333333,28.487499999999997
Khepupara,2011,21.98,90.22,257.6666666666667,81.41666666666667,3.4250000000000003,6.091666666666666,27.825000000000003
Khepupara,2012,21.98,90.22,219.0,80.58333333333333,3.2999999999999994,6.191666666666666,28.275
Khulna,2010,22.8,89.58,113.08333333333333,79.25,3.483333333333334,6.533333333333334,28.704166666666666
Khulna,2011,22.8,89.58,162.33333333333334,79.91666666666667,3.1166666666666667,6.224999999999999,28.275
Khulna,2012,22.8,89.58,137.08333333333334,82.83333333333333,3.3166666666666664,6.308333333333334,28.5375
Kutubdia,2010,21.83,91.84,225.16666666666666,78.08333333333333,3.908333333333333,7.283333333333332,27.929166666666664
Kutubdia,2011,21.83,91.84,324.5,79.66666666666667,3.433333333333333,6.941666666666666,27.28333333333333
Kutubdia,2012,21.83,91.84,389.75,83.08333333333333,3.633333333333333,6.591666666666668,27.46666666666666
Madaripur,2010,23.17,90.18,110.83333333333333,81.5,3.6999999999999997,6.491666666666667,28.09583333333333
Madaripur,2011,23.17,90.18,134.41666666666666,81.83333333333333,2.9583333333333335,5.983333333333334,27.458333333333332
Madaripur,2012,23.17,90.18,128.83333333333334,81.5,2.9916666666666667,5.908333333333334,27.633333333333333
Maijdee Court,2010,22.83,91.08,250.16666666666666,81.58333333333333,3.933333333333333,5.983333333333334,28.495833333333337
Maijdee Court,2011,22.83,91.08,269.5,81.83333333333333,3.7416666666666667,5.55,27.8375
Maijdee Court,2012,22.83,91.08,205.5,81.66666666666667,3.658333333333333,5.583333333333335,27.891666666666666
Mongla,2010,22.43,89.66,139.41666666666666,80.08333333333333,3.708333333333334,6.6499999999999995,29.004166666666666
Mongla,2011,22.43,89.66,187.25,80.41666666666667,3.25,6.116666666666666,28.237499999999997
Mongla,2012,22.43,89.66,148.66666666666666,80.08333333333333,3.333333333333334,6.316666666666666,28.591666666666665
Mymensingh,2010,24.75,90.41,174.58333333333334,82.5,3.875,5.675,27.6
Mymensingh,2011,24.75,90.41,178.91666666666666,81.83333333333333,3.6583333333333337,5.708333333333333,26.891666666666666
Mymensingh,2012,24.75,90.41,123.25,81.33333333333333,3.9166666666666674,5.2250000000000005,27.112499999999997
Patuakhali,2010,22.36,90.34,180.58333333333334,88.91666666666667,3.716666666666667,6.408333333333334,28.666666666666668
Patuakhali,2011,22.36,90.34,201.16666666666666,84.58333333333333,3.416666666666666,6.224999999999998,28.125000000000004
Patuakhali,2012,22.36,90.34,157.91666666666666,84.33333333333333,3.5,6.124999999999999,28.083333333333336
Rajshahi,2010,24.35,88.56,66.0,77.83333333333333,3.158333333333333,6.641666666666666,28.375
Rajshahi,2011,24.35,88.56,122.91666666666667,80.25,2.858333333333334,6.266666666666666,27.34583333333333
Rajshahi,2012,24.35,88.56,97.0,76.91666666666667,3.1999999999999997,6.233333333333333,27.99583333333333
Rangamati,2010,22.67,92.2,220.41666666666666,79.25,3.258333333333333,6.408333333333332,28.10833333333333
Rangamati,2011,22.67,92.2,196.75,79.58333333333333,3.266666666666666,6.533333333333334,27.229166666666664
Rangamati,2012,22.67,92.2,234.75,79.5,3.5583333333333336,6.391666666666667,27.47083333333333
Rangpur,2010,25.72,89.26,175.16666666666666,80.25,3.9749999999999996,5.408333333333334,26.975
Rangpur,2011,25.72,89.26,161.0,80.08333333333333,3.816666666666667,6.041666666666667,26.754166666666663
Rangpur,2012,25.72,89.26,156.41666666666666,78.33333333333333,3.9249999999999994,6.108333333333333,26.69166666666667
Sandwip,2010,22.5,91.46,292.4166666666667,79.25,3.9,6.441666666666666,27.84166666666666
Sandwip,2011,22.5,91.46,355.0,82.58333333333333,3.375,6.174999999999998,27.43333333333333
Sandwip,2012,22.5,91.46,340.0833333333333,82.33333333333333,3.508333333333333,6.158333333333332,27.799999999999997
Satkhira,2010,22.68,89.07,107.91666666666667,79.5,3.0083333333333333,6.324999999999999,28.516666666666666
Satkhira,2011,22.68,89.07,176.75,78.91666666666667,2.816666666666667,6.216666666666666,27.854166666666664
Satkhira,2012,22.68,89.07,121.5,78.16666666666667,3.008333333333333,6.266666666666667,28.304166666666664
Sitakunda,2010,22.64,91.64,239.0,82.25,3.216666666666667,6.650000000000001,28.179166666666667
Sitakunda,2011,22.64,91.64,313.1666666666667,81.08333333333333,3.141666666666667,6.641666666666666,27.420833333333334
Sitakunda,2012,22.64,91.64,327.75,82.41666666666667,3.1,6.55,27.78333333333333
Srimangal,2010,24.29,91.73,190.83333333333334,80.66666666666667,4.066666666666666,5.8,27.10416666666667
Srimangal,2011,24.29,91.73,170.83333333333334,80.5,3.5250000000000004,6.074999999999999,26.62083333333333
Srimangal,2012,24.29,91.73,160.58333333333334,79.75,3.7833333333333337,5.6499999999999995,26.737499999999997
Syedpur,2010,25.75,88.916667,178.80555555808334,76.62698412666667,3.3333333333333326,5.902777777666667,26.841865078750004
Syedpur,2011,25.75,88.916667,157.5,79.16666666666667,3.108333333333334,5.916666666666667,26.97083333333333
Syedpur,2012,25.75,88.916667,149.16666666666666,77.75,3.1333333333333333,5.5583333333333345,26.950000000000003
Sylhet,2010,24.88,91.93,411.5833333333333,77.83333333333333,4.533333333333333,5.483333333333333,27.745833333333334
Sylhet,2011,24.88,91.93,258.4166666666667,76.83333333333333,4.141666666666667,6.166666666666665,27.62916666666667
Sylhet,2012,24.88,91.93,384.1666666666667,78.33333333333333,4.641666666666667,5.608333333333334,27.679166666666667
Tangail,2010,24.15,89.55,145.83333333333334,79.41666666666667,3.4166666666666665,6.125,27.941666666666663
Tangail,2011,24.15,89.55,153.25,80.16666666666667,3.225,6.016666666666668,27.34166666666667
Tangail,2012,24.15,89.55,122.41666666666667,79.0,3.316666666666667,6.016666666666668,27.52916666666667
Teknaf,2010,20.87,92.26,355.3333333333333,82.75,3.516666666666667,5.891666666666667,28.033333333333335
Teknaf,2011,20.87,92.26,412.8333333333333,80.75,3.5583333333333336,6.6833333333333345,27.145833333333336
Teknaf,2012,20.87,92.26,405.75,79.5,3.283333333333333,6.933333333333333,27.50416666666667
Barisal,2013,22.7,90.36,193.41666666666663,82.83333333333333,3.7000000000000006,6.175000000000002,27.575
Dinajpur,2013,25.63,88.66,152.25,78.0,3.5416666666666674,5.9,27.09166666666667
Bhola,2013,22.7,90.66,182.83333333333331,82.5,3.4166666666666665,5.433333333333334,27.63333333333333
Patuakhali,2013,22.36,90.34,221.5,83.16666666666667,3.7083333333333335,6.091666666666668,27.95
Mymensingh,2013,24.75,90.41,144.91666666666666,80.91666666666667,3.8,4.933333333333334,27.34583333333333
Mongla,2013,22.43,89.66,152.58333333333334,80.08333333333333,3.516666666666667,6.033333333333334,28.25833333333333
Rajshahi,2013,24.35,88.56,104.0,78.66666666666667,3.141666666666667,6.108333333333333,27.925000000000004
Maijdee Court,2013,22.83,91.08,253.66666666666663,79.75,4.008333333333333,5.624999999999999,27.979166666666664
Madaripur,2013,23.17,90.18,179.33333333333337,81.25,3.1333333333333333,6.058333333333334,27.5375
Kutubdia,2013,21.83,91.84,350.25,85.0,3.5666666666666664,6.266666666666667,27.04166666666667
Rangamati,2013,22.67,92.2,162.5,78.25,3.4916666666666667,6.458333333333332,27.425
Khulna,2013,22.8,89.58,172.0,81.66666666666667,3.5833333333333326,5.949999999999998,28.200000000000006
Khepupara,2013,21.98,90.22,260.0,80.41666666666667,3.5333333333333328,6.166666666666668,27.80833333333333
Jessore,2013,23.17,89.22,139.66666666666666,77.83333333333333,2.9416666666666664,5.233333333333333,27.825
Rangpur,2013,25.72,89.26,159.66666666666666,78.41666666666667,3.75,5.9,26.925
Ishurdi,2013,24.12,89.04,94.08333333333331,78.91666666666667,3.441666666666667,6.116666666666667,27.441666666666666
Hatiya,2013,22.29,91.13,286.3333333333333,83.16666666666667,3.7416666666666667,6.091666666666668,27.44583333333333
