st,yr,mn,max_temp,min_temp,rain,rel_hum,wind,cloud,sun
Chuadanga,2013,4,41.5,23.3,32.0,65.0,2.3,2.7,7.9
Chuadanga,2013,5,38.6,24.9,260.0,81.0,2.7,5.4,4.7
Chuadanga,2013,6,36.7,26.4,156.0,85.0,2.1,4.9,6.0
Chuadanga,2013,7,36.2,26.4,169.0,86.0,2.2,5.3,4.5
Chuadanga,2013,8,35.7,25.7,202.0,88.0,2.0,5.5,4.0
Chuadanga,2013,9,36.3,25.6,122.0,87.0,1.7,4.7,5.0
Chuadanga,2013,10,35.0,23.5,208.0,89.0,1.7,4.6,4.2
Chuadanga,2013,11,32.0,15.3,0.0,82.0,1.7,0.7,8.0
Chuadanga,2013,12,29.0,12.2,0.0,82.0,1.7,0.4,5.2
Comilla,2013,1,28.6,10.9,0.0,74.0,1.6,0.7,6.8
Comilla,2013,2,31.4,15.8,3.0,69.0,2.2,1.4,7.8
Comilla,2013,3,34.0,20.5,30.0,76.0,1.9,1.9,8.2
Comilla,2013,4,34.8,23.4,28.0,78.0,2.4,2.9,7.7
Comilla,2013,5,34.8,24.2,467.0,85.0,3.0,6.4,4.2
Comilla,2013,6,35.6,26.5,214.0,82.0,2.5,5.5,6.6
Comilla,2013,7,35.6,26.1,276.0,84.0,2.6,5.4,6.1
Comilla,2013,8,35.0,25.9,243.0,85.0,2.5,6.0,4.2
Comilla,2013,9,35.4,25.7,255.0,85.0,2.2,5.6,5.3
Comilla,2013,10,34.6,24.1,124.0,85.0,2.0,4.9,5.7
Comilla,2013,11,33.2,17.8,0.0,78.0,1.8,0.5,8.4
Comilla,2013,12,30.8,14.2,3.0,81.0,1.7,1.0,6.0
Cox's Bazar,2013,1,32.0,13.9,0.0,71.0,4.6,0.4,7.9
Cox's Bazar,2013,2,33.8,18.2,0.0,67.0,4.5,1.0,8.4
Cox's Bazar,2013,3,35.0,21.4,0.0,75.0,3.5,0.8,8.6
Cox's Bazar,2013,4,35.0,24.5,54.0,77.0,3.4,2.3,8.7
Cox's Bazar,2013,5,34.5,24.7,700.0,86.0,4.3,6.0,4.0
Cox's Bazar,2013,6,35.0,25.8,876.0,86.0,2.9,6.5,3.7
Cox's Bazar,2013,7,34.0,25.1,772.0,86.0,2.9,7.0,4.6
Cox's Bazar,2013,8,33.5,25.5,1000.0,86.0,2.9,6.6,4.4
Cox's Bazar,2013,9,34.2,25.6,237.0,86.0,2.6,6.4,4.6
Cox's Bazar,2013,10,34.2,24.5,420.0,84.0,1.7,5.4,4.9
Cox's Bazar,2013,11,32.6,21.3,0.0,73.0,1.1,1.6,7.6
Cox's Bazar,2013,12,31.0,17.1,0.0,73.0,1.3,1.0,7.1
Dhaka,2013,1,28.1,12.3,0.0,65.0,1.6,0.4,4.5
Dhaka,2013,2,32.4,17.5,8.0,56.0,2.2,1.2,7.0
Dhaka,2013,3,36.0,22.1,26.0,55.0,2.4,2.0,7.9
Dhaka,2013,4,37.0,24.4,32.0,64.0,2.7,3.5,6.5
Dhaka,2013,5,37.1,24.8,378.0,79.0,3.0,6.6,3.6
Dhaka,2013,6,36.4,27.2,325.0,77.0,2.4,5.7,4.8
Dhaka,2013,7,34.6,27.0,302.0,78.0,2.5,6.3,4.4
Dhaka,2013,8,35.0,26.2,212.0,81.0,2.5,6.3,3.3
Dhaka,2013,9,35.7,26.3,172.0,81.0,1.8,5.8,3.6
Dhaka,2013,10,35.2,24.4,131.0,79.0,1.8,4.9,4.5
Dhaka,2013,11,32.1,18.5,0.0,67.0,1.7,0.9,7.0
Dhaka,2013,12,30.5,15.6,4.0,73.0,1.6,1.2,4.1
Dinajpur,2013,1,27.2,8.5,0.0,78.0,1.5,0.8,5.2
Dinajpur,2013,2,31.5,13.9,10.0,70.0,1.6,1.9,7.4
Dinajpur,2013,3,36.0,18.0,0.0,64.0,1.7,0.8,8.9
Dinajpur,2013,4,39.5,21.3,99.0,69.0,1.9,3.3,7.0
Dinajpur,2013,5,37.8,23.9,133.0,81.0,2.0,6.0,4.4
Dinajpur,2013,6,37.2,26.4,370.0,81.0,1.6,5.7,5.4
Dinajpur,2013,7,35.0,26.9,255.0,82.0,1.8,6.2,5.1
Dinajpur,2013,8,35.7,26.1,469.0,85.0,1.8,6.3,4.6
Dinajpur,2013,9,36.2,26.0,182.0,82.0,1.7,4.9,6.4
Dinajpur,2013,10,33.8,22.3,309.0,85.0,1.7,4.7,5.1
Dinajpur,2013,11,30.6,15.1,0.0,78.0,1.8,1.2,7.7
Dinajpur,2013,12,29.0,12.3,0.0,81.0,1.8,0.7,3.6
Faridpur,2013,1,28.0,10.4,0.0,77.0,1.9,0.5,6.1
Faridpur,2013,2,32.3,15.1,12.0,70.0,2.2,1.5,7.8
Faridpur,2013,3,36.8,20.3,12.0,65.0,2.0,1.1,8.0
Faridpur,2013,4,39.6,23.7,55.0,68.0,2.6,2.4,7.2
Faridpur,2013,5,37.3,24.6,380.0,84.0,2.9,5.9,3.7
Faridpur,2013,6,35.8,26.7,291.0,82.0,2.1,4.8,5.8
Faridpur,2013,7,35.3,26.7,198.0,84.0,2.4,5.2,5.0
Faridpur,2013,8,34.9,26.3,264.0,86.0,2.2,5.9,3.9
Faridpur,2013,9,35.7,26.3,225.0,85.0,1.8,4.8,4.4
Faridpur,2013,10,34.8,24.3,202.0,85.0,1.6,4.4,4.7
Faridpur,2013,11,32.0,17.6,0.0,76.0,1.6,0.7,8.6
Faridpur,2013,12,29.6,14.5,0.0,80.0,1.7,0.9,5.6
Feni,2013,1,29.7,10.9,0.0,77.0,1.2,0.4,5.3
Feni,2013,2,32.5,15.3,3.0,70.0,2.0,1.6,6.9
Feni,2013,3,34.7,20.4,26.0,72.0,2.2,2.3,7.8
Feni,2013,4,35.6,23.8,17.0,77.0,2.9,3.6,7.6
Feni,2013,5,33.4,24.3,533.0,87.0,3.8,7.0,3.3
Feni,2013,6,36.0,26.2,493.0,84.0,2.7,6.1,6.1
Feni,2013,7,34.8,25.7,382.0,86.0,3.3,6.6,5.3
Feni,2013,8,33.8,25.5,468.0,87.0,3.1,6.7,3.9
Feni,2013,9,35.5,25.2,373.0,86.0,2.1,6.1,4.3
Feni,2013,10,35.1,23.8,193.0,87.0,1.3,4.8,4.9
Feni,2013,11,32.5,17.8,0.0,79.0,0.7,0.6,8.7
Feni,2013,12,30.5,14.3,0.0,81.0,0.5,0.9,5.1
Hatiya,2013,1,30.3,11.7,0.0,76.0,1.5,0.4,7.2
Hatiya,2013,2,33.2,15.6,4.0,71.0,1.7,1.5,7.9
Hatiya,2013,3,34.6,20.3,0.0,76.0,1.8,1.7,8.5
Hatiya,2013,4,35.0,23.9,50.0,81.0,2.2,2.8,8.2
Hatiya,2013,5,33.4,24.7,842.0,87.0,4.3,6.5,2.8
Hatiya,2013,6,35.7,26.1,592.0,86.0,2.6,5.8,5.8
